IMO,Name,Flag,Type,Age,Date d'inspection,Type d'inspection,Port d'inspection,Nombre de deficienes,Detentions,,,,
9122045,CIELO DI AGADIR,Morocco,Container,20,15/12/2016,More detailed inspection,Malta - Marsaxlokk,8,Detention,,,,
7703259,CORONEL,Antigua and Barbuda,General cargo/multipurpose,38,15/12/2016,More detailed inspection,France - Roscoff-Bloscon,3,,,,,
9587192,DOLVIKEN,Norway,Oil tanker,5,15/12/2016,More detailed inspection,Spain - Bilbao,2,,,,,
9015462,DORNUM,Antigua and Barbuda,General cargo/multipurpose,24,15/12/2016,More detailed inspection,Poland - Gdynia,2,,,,,
9321500,ELEONORA MAERSK,Denmark,Container,10,15/12/2016,Initial inspection,United Kingdom - Felixstowe,3,,,,,
9200378,GENCO KNIGHT,Hong Kong (China),Bulk carrier,18,15/12/2016,Expanded inspection,Latvia - Riga,2,,,,,
9595981,GULLWING,Malta,Bulk carrier,5,15/12/2016,More detailed inspection,Netherlands - Rotterdam,7,,,,,
9574030,INA-LOTTE,Liberia,Bulk carrier,6,15/12/2016,More detailed inspection,Russian Federation - Saint Petersburg,5,,,,,
9399325,JOSE MARIA ENTRECANALES,Spain,Ro-Ro cargo,8,15/12/2016,More detailed inspection,United Kingdom - Gibraltar,1,,,,,
5344437,KINGSTON,United Kingdom,Tug,55,15/12/2016,More detailed inspection,France - Calais,7,Detention,,,,
9128075,LUCKY TRADER,Panama,Bulk carrier,21,15/12/2016,Expanded inspection,Spain - Castellon de la Plana,1,,,,,
9155432,LYRA,Portugal,General cargo/multipurpose,19,15/12/2016,More detailed inspection,Lithuania - Klaipeda,7,,,,,
9110389,MSC KATYAYNI,Panama,Container,20,15/12/2016,More detailed inspection,Belgium - Antwerpen,2,,,,,
8866022,PLUTON,Panama,General cargo/multipurpose,34,15/12/2016,More detailed inspection,Russian Federation - Azov,8,,,,,
9056052,POSEN,Antigua and Barbuda,General cargo/multipurpose,23,15/12/2016,More detailed inspection,Bulgaria - Varna,5,,,,,
9535864,SEA ATHENA,Marshall Islands,Bulk carrier,7,15/12/2016,Initial inspection,Spain - Aviles,2,,,,,
9133915,SKANE,Sweden,Ro-Ro passenger ship,20,15/12/2016,Expanded inspection,Germany - Rostock,3,,,,,
9285184,SPECIALITY,United Kingdom,Chemical tanker,13,15/12/2016,Expanded inspection,France - Nantes-Saint Nazaire (GPM),3,,,,,
9102071,STOLT CONFIDENCE,"Cayman Islands, UK",Chemical tanker,21,15/12/2016,More detailed inspection,Belgium - Antwerpen,1,,,,,
9598579,TANIT,Tunisia,Ro-Ro passenger ship,5,15/12/2016,More detailed inspection,France - Marseille (GPM),1,,,,,
9404754,UAL TRADER,Curacao,General cargo/multipurpose,10,15/12/2016,More detailed inspection,Spain - Las Palmas,11,,,,,
8230340,VOLGO-BALT 206,Sierra Leone,General cargo/multipurpose,39,15/12/2016,More detailed inspection,Russian Federation - Azov,6,,,,,
9236169,YONG HUAN,Hong Kong (China),Bulk carrier,16,15/12/2016,Expanded inspection,Netherlands - Amsterdam,2,,,,,
9086318,A RACER,Liberia,Bulk carrier,21,16/12/2016,More detailed inspection,Latvia - Riga,14,,,,,
8721337,AMUR-2507,Palau,General cargo/multipurpose,31,16/12/2016,More detailed inspection,Russian Federation - Azov,7,,,,,
9277656,ANASTASIA S,Marshall Islands,Bulk carrier,12,16/12/2016,Expanded inspection,Netherlands - Rotterdam,5,,,,,
